step,epoch,approx_samples_seen,prev_loss,loss,loss_drop_per_sample,statistical_efficiency,smoothed_statistical_efficiency
2,0.01,64,5.1934,5.2655,-0.0022531250000000225,-0.00500895125281255,0.041157114368203115
3,0.01,96,5.2655,4.3918,0.02730312500000001,0.060697929397812524,0.03972008029518749
4,0.01,128,4.3918,3.6016,0.02469375,0.054896994174375,0.03575390793703124
5,0.02,160,3.6016,2.8237,0.024309374999999994,0.054042485153437486,0.03410890363714285
6,0.02,192,2.8237,2.3347,0.015281249999999996,0.03397194400312499,0.035928084862901784
7,0.02,224,2.3347,2.1055,0.007162500000000002,0.015923046146250005,0.028298043802544644
8,0.03,256,2.1055,1.7566,0.010903125000000007,0.024238877837812513,0.022615211451919644
9,0.03,288,1.7566,1.6454,0.003474999999999999,0.007725317327499997,0.0139014028528125
10,0.03,320,1.6454,1.5405,0.003278125,0.007287641975312499,0.010276934856919644
11,0.04,352,1.5405,1.3229,0.0068000000000000005,0.01511716772,0.008676095076696429
12,0.04,384,1.3229,1.423,-0.0031281250000000024,-0.006954175040312505,0.0038646435859821422
13,0.04,416,1.423,1.2992,0.003868750000000004,0.008600668031875008,0.004459127794508929
14,0.04,448,1.2992,1.2313,0.0021218749999999953,0.004717167684687489,0.002687584702321428
15,0.05,480,1.2313,1.3672,-0.004246874999999997,-0.009441282597187493,0.0006709037144642843
16,0.05,512,1.3672,1.1961,0.005346875000000001,0.011886706787187501,0.00258436874625
17,0.05,544,1.1961,1.2697,-0.0023000000000000034,-0.005113159670000008,0.0006470846476785705
18,0.06,576,1.2697,1.2553,0.000449999999999999,0.0010004008049999977,-0.0002977383348214288
19,0.06,608,1.2553,1.1626,0.002896875,0.0064400801821875,0.0018052867701339281
20,0.06,640,1.1626,1.234,-0.002231249999999997,-0.004960320658124994,0.0003503387739732131
21,0.07,672,1.234,1.2613,-0.0008531250000000032,-0.0018965931928125069,0.0006103635863839295
22,0.07,704,1.2613,1.1853,0.002375000000000002,0.005279893137500004,0.0006173108141964287
23,0.07,736,1.1853,1.1608,0.0007656249999999989,0.0017020708140624975,-0.00039996182977678575
24,0.08,768,1.1608,1.2082,-0.0014812499999999965,-0.003292985983124992,0.0005190571637053573
25,0.08,800,1.2082,1.1931,0.0004718749999999966,0.0010490313996874923,0.0016564176027232143
26,0.08,832,1.1931,1.2029,-0.00030625000000000097,-0.0006808283256250021,0.0006788434033928572
27,0.09,864,1.2029,1.1817,0.0006625000000000034,0.0014728122962500074,-0.0007423609148214284
28,0.09,896,1.1817,1.0944,0.002728124999999998,0.006064929880312495,0.0005825746751339282
29,0.09,928,1.0944,1.1169,-0.0007031249999999989,-0.0015631262578124974,0.0007939688928571434
30,0.1,960,1.1169,1.2356,-0.003709375000000001,-0.008246359413437501,0.0007364061481250003
31,0.1,992,1.2356,1.1495,0.002690625000000002,0.005981563146562504,0.00036224830736607114
32,0.1,1024,1.1495,1.1131,0.0011374999999999996,0.002528790923749999,-9.924611160713128e-06
33,0.11,1056,1.1131,1.1287,-0.0004875000000000018,-0.001083767538750004,-0.0011740815003125006
34,0.11,1088,1.1287,1.1452,-0.0005156249999999987,-0.001146292589062497,0.0006351751142857149
35,0.11,1120,1.1452,1.0954,0.001556250000000002,0.0034597194506250043,-2.4811527901785176e-05
36,0.12,1152,1.0954,1.2352,-0.004368750000000005,-0.009712224481875009,-0.0006192957364285715
37,0.12,1184,1.2352,1.1716,0.001987500000000003,0.004418436888750006,-0.0005875369807142848
38,0.12,1216,1.1716,1.152,0.0006125000000000019,0.0013616566512500042,-0.0004069090575892849
39,0.12,1248,1.152,1.1755,-0.0007343750000000024,-0.0016325985359375052,-0.0013150109787946433
40,0.13,1280,1.1755,1.1879,-0.00038749999999999896,-0.0008614562487499976,0.0011353755167857146
41,0.13,1312,1.1879,1.1862,5.312500000000109e-05,0.00011810287281250241,-0.00044759996334821334
42,0.13,1344,1.1862,1.2279,-0.0013031250000000022,-0.0028969939978125045,9.031396156249887e-05
43,0.14,1376,1.2279,1.1208,0.003346874999999999,0.007440480987187498,0.0002272735955803564
44,0.14,1408,1.1208,1.2167,-0.002996874999999996,-0.006662391472187491,4.0690905758928586e-05
45,0.14,1440,1.2167,1.1429,0.002306249999999996,0.00512705412562499,1.6871838973212437e-05
46,0.15,1472,1.1429,1.1526,-0.0003031250000000013,-0.0006738810978125029,0.00034239908504464256
47,0.15,1504,1.1526,1.1838,-0.0009749999999999967,-0.0021675350774999925,-0.0004317205854910701
48,0.15,1536,1.1838,1.1845,-2.187500000000453e-05,-4.8630594687510065e-05,0.0012465311617857135
49,0.16,1568,1.1845,1.1934,-0.0002781249999999971,-0.0006183032753124936,0.00012405763950892816
50,0.16,1600,1.1934,1.1643,0.0009093750000000039,0.0020216432934375087,9.428380602678643e-05
51,0.16,1632,1.1643,1.0911,0.002287499999999998,0.005085370758749995,-0.00017169577308035803
52,0.17,1664,1.0911,1.1304,-0.0012281250000000035,-0.0027302605303125074,0.0007840442816964303
53,0.17,1696,1.1304,1.1431,-0.0003968749999999979,-0.0008822979321874954,-0.0001875751509374992
54,0.17,1728,1.1431,1.2011,-0.0018125000000000016,-0.004029392131250004,0.0002510926623660701
55,0.18,1760,1.2011,1.1055,0.002987500000000004,0.006641549788750008,1.687183897321446e-05
56,0.18,1792,1.1055,1.2123,-0.0033375,-0.0074196393037499996,-0.00036522569071428514
57,0.18,1824,1.2123,1.139,0.0022906249999999975,0.005092317986562494,0.0001250501006249994
58,0.19,1856,1.139,1.0894,0.0015500000000000028,0.003445824995000006,0.000276896651383929
59,0.19,1888,1.0894,1.1672,-0.002431250000000003,-0.0054049432381250056,0.00011016318388392748
60,0.19,1920,1.1672,1.1305,0.0011468749999999986,0.0025496326071874965,0.0003543086184374985
61,0.2,1952,1.1305,1.1732,-0.0013343749999999988,-0.002966466275937497,5.3592900267857906e-05
62,0.2,1984,1.1732,1.0944,0.0024624999999999994,0.005474415516249998,-0.0007006775479464286
63,0.2,2016,1.0944,1.1766,-0.0025687500000000016,-0.005710621261875003,-0.00010123103383928568
64,0.2,2048,1.1766,1.1336,0.0013437500000000047,0.0029873079593750102,-0.00047538887459821263
65,0.21,2080,1.1336,1.16,-0.0008249999999999993,-0.0018340681424999985,0.00010420841718749949
66,0.21,2112,1.16,1.1774,-0.0005437500000000026,-0.0012088176393750057,-0.00018459776758928542
67,0.21,2144,1.1774,1.1784,-3.124999999999656e-05,-6.947227812499234e-05,0.00011314056723214368
68,0.22,2176,1.1784,1.1627,0.0004906249999999945,0.0010907147665624878,-0.0007304513814285726
69,0.22,2208,1.1627,1.113,0.0015531250000000024,0.003452772222812505,-0.000617310814196429
70,0.22,2240,1.113,1.1652,-0.0016312500000000008,-0.0036264529181250014,0.00013894455625000014
71,0.23,2272,1.1652,1.2072,-0.0013125000000000012,-0.0029178356812500023,0.0006768584811607124
72,0.23,2304,1.2072,1.2222,-0.00046874999999999695,-0.0010420841718749932,-0.0002888061847767847
73,0.23,2336,1.2222,1.1634,0.0018374999999999989,0.004084969953749997,-0.0008674110154464276
74,0.24,2368,1.1634,1.1102,0.0016624999999999973,0.0036959251962499938,0.0004297356632589298
75,0.24,2400,1.1102,1.1918,-0.0025499999999999967,-0.005668937894999992,0.0013239431288392855
76,0.24,2432,1.1918,1.2004,-0.00026874999999999816,-0.0005974615918749958,0.001238591472857143
77,0.25,2464,1.2004,1.1219,0.0024531250000000004,0.005453573832812501,-0.00040889397982142746
78,0.25,2496,1.1219,1.0738,0.001503124999999994,0.0033416165778124866,0.0002123866788392868
79,0.25,2528,1.0738,1.0974,-0.0007374999999999951,-0.001639545763749989,0.0007175493869196433
80,0.26,2560,1.0974,1.2046,-0.003349999999999999,-0.007447428214999997,0.0009259662212946421
81,0.26,2592,1.2046,1.0888,0.003618749999999997,0.008044889806874993,-0.0007175493869196432
82,0.26,2624,1.0888,1.1195,-0.0009593749999999984,-0.0021327989384374965,-0.0003493463128571419
83,0.27,2656,1.1195,1.1071,0.00038749999999999896,0.0008614562487499976,0.0005746349862053555
84,0.27,2688,1.1071,1.1942,-0.0027218749999999986,-0.006051035424687497,-5.3592900267857656e-05
85,0.27,2720,1.1942,1.109,0.002662499999999998,0.0059190380962499956,-0.00013993701736607158
86,0.28,2752,1.109,1.0395,0.0021718749999999967,0.004828323329687492,0.00023322836227678418
87,0.28,2784,1.0395,1.21,-0.005328124999999996,-0.011845023420312491,0.00031461017379464333
88,0.28,2816,1.21,1.1029,0.003346874999999999,0.007440480987187498,0.00043072812437499865
89,0.28,2848,1.1029,1.096,0.00021562499999999707,0.00047935871906249345,-0.00022231128999999984
90,0.29,2880,1.096,1.0754,0.0006437500000000054,0.0014311289293750119,-0.000822750265223214
91,0.29,2912,1.0754,1.1508,-0.002356250000000004,-0.005238209770625009,0.0011304132112053558
92,0.29,2944,1.1508,1.1314,0.0006062500000000026,0.0013477621956250057,-0.00013695963401785745
93,0.3,2976,1.1314,1.1224,0.0002812499999999968,0.0006252505031249928,0.00017963546200892858
94,0.3,3008,1.1224,1.0961,0.0008218749999999997,0.0018271209146874991,-0.000629220347589287
95,0.3,3040,1.0961,1.1167,-0.0006437499999999985,-0.0014311289293749965,-0.00020742437325892775
96,0.31,3072,1.1167,1.0779,0.0012124999999999983,0.002695524391249996,-0.00017765053977678602
97,0.31,3104,1.0779,1.1388,-0.0019031249999999986,-0.004230861737812497,0.0005071476303125014
98,0.31,3136,1.1388,1.1717,-0.0010281249999999978,-0.002285637950312495,-0.0011036167610714283
99,0.32,3168,1.1717,1.1493,0.0006999999999999992,0.0015561790299999981,0.00012008779504464284
100,0.32,3200,1.1493,1.0713,0.002437500000000002,0.005418837693750005,0.00013001240620535832
101,0.32,3232,1.0713,1.2073,-0.004250000000000004,-0.009448229825000008,-0.00046347934120535665
102,0.33,3264,1.2073,1.1046,0.0032093750000000004,0.007134802963437501,0.0007264815369642852
103,0.33,3296,1.1046,1.0648,0.0012437500000000018,0.002764996669375004,0.00028582880142857093
104,0.33,3328,1.0648,1.1855,-0.003771875000000001,-0.0083853039696875,-0.001082775077633928
105,0.34,3360,1.1855,1.0985,0.002718749999999999,0.006044088196874998,0.0015343448854464295
106,0.34,3392,1.0985,1.1205,-0.0006875000000000006,-0.0015283901187500013,0.00015680885633928616
107,0.34,3424,1.1205,1.1804,-0.001871874999999995,-0.004161389459687488,-0.0006699112533482154
108,0.35,3456,1.1804,1.0527,0.003990624999999998,0.008871609916562493,0.00010917072276785624
109,0.35,3488,1.0527,1.0888,-0.0011281250000000007,-0.0025079492403125014,-0.0006758660200446435
110,0.35,3520,1.0888,1.1323,-0.001359375000000003,-0.003022044098437506,0.0006242580420089278
111,0.36,3552,1.1323,1.1745,-0.0013187500000000005,-0.002931730136875001,0.0005220345470535711
112,0.36,3584,1.1745,1.1666,0.00024687500000000057,0.0005488309971875012,-3.0766294598215393e-05
113,0.36,3616,1.1666,1.0576,0.0034062499999999996,0.007572478315624998,1.290199450892926e-05
114,0.36,3648,1.0576,1.1278,-0.0021937499999999943,-0.004876953924374987,-0.0001538314729910699
115,0.37,3680,1.1278,1.0558,0.002249999999999995,0.005002004024999989,0.000701670009062502
116,0.37,3712,1.0558,1.0875,-0.000990624999999995,-0.002202271216562489,0.000921996376830357
117,0.37,3744,1.0875,1.1478,-0.0018843750000000006,-0.004189178370937501,7.641950593750042e-05
118,0.38,3776,1.1478,1.1038,0.0013750000000000012,0.0030567802375000026,-0.0006986926257142858
119,0.38,3808,1.1038,1.0737,0.0009406249999999935,0.0020911155715624854,-0.00041187136316964146
120,0.38,3840,1.0737,1.0499,0.0007437500000000014,0.001653440219375003,-0.0005458536138392872
121,0.39,3872,1.0499,1.1982,-0.004634374999999996,-0.01030273884593749,0.00017467315642856994
122,0.39,3904,1.1982,1.0973,0.0031531249999999997,0.007009752862812499,-0.0005984540529910716
123,0.39,3936,1.0973,1.1425,-0.001412500000000004,-0.0031401469712500087,-0.0004982154802678551
124,0.4,3968,1.1425,1.1302,0.0003843749999999993,0.0008545090209374984,-0.00035133123508928466
125,0.4,4000,1.1302,1.1641,-0.0010593749999999943,-0.0023551102284374873,0.0009229888379464282
126,0.4,4032,1.1641,1.1239,0.0012562500000000004,0.0027927855806250007,0.00010917072276785614
127,0.41,4064,1.1239,1.0853,0.001206249999999999,0.0026816299356249977,0.0005011928636160713
128,0.41,4096,1.0853,1.1052,-0.0006218750000000009,-0.001382498334687502,-7.939688928570528e-06
129,0.41,4128,1.1052,1.0863,0.0005906249999999974,0.0013130260565624942,0.0006768584811607124
130,0.42,4160,1.0863,1.092,-0.0001781250000000012,-0.00039599198531250265,0.00042378089656249955
131,0.42,4192,1.092,1.131,-0.0012187499999999976,-0.0027094188468749945,-0.0003672106129464299
132,0.42,4224,1.131,1.0959,0.0010968749999999972,0.0024384769621874935,-0.0004992079413839287
133,0.43,4256,1.0959,1.0812,0.0004593750000000049,0.0010212424884375108,-0.0003443840072767853
134,0.43,4288,1.0812,1.1223,-0.0012843750000000043,-0.002855310630937509,-0.0003364443183482124
135,0.43,4320,1.1223,1.1555,-0.0010374999999999968,-0.0023064796337499928,0.0001389445562500001
136,0.44,4352,1.1555,1.121,0.0010781249999999992,0.002396793595312498,-0.00026200973464285697
137,0.44,4384,1.121,1.1259,-0.000153124999999997,-0.00034041416281249334,-0.000544861152723216
138,0.44,4416,1.1259,1.117,0.0002781249999999971,0.0006183032753124936,-0.0002967458737053553
139,0.44,4448,1.117,1.1223,-0.00016562500000000258,-0.0003682030740625057,0.00024315297343749959
140,0.45,4480,1.1223,1.1361,-0.0004312500000000011,-0.0009587174381250023,0.00025407004571428637
141,0.45,4512,1.1361,1.1522,-0.0005031249999999932,-0.0011185036778124848,0.0003900372186160703
142,0.45,4544,1.1522,1.131,0.0006624999999999964,0.001472812296249992,0.00018261284535714252
143,0.46,4576,1.131,1.0954,0.0011125000000000024,0.002473213101250005,-0.0001518465507589273
144,0.46,4608,1.0954,1.0866,0.00027499999999999747,0.0006113560474999944,0.0006669338700000014
145,0.46,4640,1.0866,1.0986,-0.00037500000000000033,-0.0008336673375000007,0.00010123103383928553
146,0.47,4672,1.0986,1.1376,-0.0012187499999999976,-0.0027094188468749945,0.00042973566325892965
147,0.47,4704,1.1376,1.0689,0.0021468749999999995,0.004772745507187499,-0.0004525622689285722
148,0.47,4736,1.0689,1.142,-0.002284374999999998,-0.005078423530937496,-0.001262410539642857
149,0.48,4768,1.142,1.0877,0.0016968750000000005,0.003772344702187501,5.95476669642805e-06
150,0.48,4800,1.0877,1.141,-0.001665625000000004,-0.0037028724240625085,0.0003979769075446431
151,0.48,4832,1.141,1.2138,-0.0022749999999999992,-0.005057581847499998,-0.0002153640621875003
152,0.49,4864,1.2138,1.098,0.003618749999999997,0.008044889806874993,0.00040988644093749885
153,0.49,4896,1.098,1.0975,1.5625000000005218e-05,3.4736139062511595e-05,-0.0010430766329910732
154,0.49,4928,1.0975,1.0906,0.00021562499999999707,0.00047935871906249345,9.62687282589289e-05
155,0.5,4960,1.0906,1.1007,-0.00031562499999999993,-0.0007016700090624998,7.93968892857142e-05
156,0.5,4992,1.1007,1.1928,-0.002878125000000002,-0.006398396815312505,-0.00043469796883928425
